Number,French,English,STATUS,DATE
83,lumière,light,0,NA
84,genre,kind,0,NA
85,de,off,0,NA
86,besoin,need,0,NA
87,maison,house,0,NA
88,image,picture,0,NA
89,essayer,try,0,NA
90,nous,us,0,NA
91,encore,again,0,NA
92,animal,animal,0,NA
93,point,point,0,NA
94,mère,mother,0,NA
95,monde,world,0,NA
96,près de,near,0,NA
97,construire,build,0,NA
98,soi,self,0,NA
99,terre,earth,0,NA
100,père,father,0,NA
101,tout,any,0,NA
102,nouveau,new,0,NA
103,travail,work,0,NA
104,partie,part,0,NA
105,prendre,take,0,NA
106,obtenir,get,0,NA
107,lieu,place,0,NA
108,fabriqué,made,0,NA
109,vivre,live,0,NA
110,où,where,0,NA
111,après,after,0,NA
112,arrière,back,0,NA
113,peu,little,0,NA
114,seulement,only,0,NA
115,tour,round,0,NA
116,homme,man,0,NA
117,année,year,0,NA
118,est venu,came,0,NA
119,montrer,show,0,NA
120,tous,every,0,NA
121,bon,good,0,NA
122,moi,me,0,NA
123,donner,give,0,NA
124,notre,our,0,NA
125,sous,under,0,NA
126,nom,name,0,NA
127,très,very,0,NA
128,par,through,0,NA
129,juste,just,0,NA
130,forme,form,0,NA
131,phrase,sentence,0,NA
132,grand,great,0,NA
133,penser,think,0,NA
134,dire,say,0,NA
135,aider,help,0,NA
136,faible,low,0,NA
137,ligne,line,0,NA
138,différer,differ,0,NA
139,tour,turn,0,NA
140,la cause,cause,0,NA
141,beaucoup,much,0,NA
142,signifier,mean,0,NA
143,avant,before,0,NA
144,déménagement,move,0,NA
145,droit,right,0,NA
146,garçon,boy,0,NA
147,vieux,old,0,NA
148,trop,too,0,NA
149,même,same,0,NA
150,elle,she,0,NA
151,tous,all,0,NA
152,là,there,0,NA
153,quand,when,0,NA
154,jusqu’à,up,0,NA
155,utiliser,use,0,NA
156,votre,your,0,NA
157,manière,way,0,NA
158,sur,about,0,NA
159,beaucoup,many,0,NA
160,puis,then,0,NA
161,les,them,0,NA
162,écrire,write,0,NA
163,voudrais,would,0,NA
164,comme,like,0,NA
165,si,so,0,NA
166,ces,these,0,NA
167,son,her,0,NA
168,long,long,0,NA
169,faire,make,0,NA
170,chose,thing,0,NA
171,voir,see,0,NA
172,lui,him,0,NA
173,deux,two,0,NA
174,a,has,0,NA
175,regarder,look,0,NA
176,plus,more,0,NA
177,jour,day,0,NA
178,pourrait,could,0,NA
179,aller,go,0,NA
180,venir,come,0,NA
181,fait,did,0,NA
182,nombre,number,0,NA
183,son,sound,0,NA
184,aucun,no,0,NA
185,plus,most,0,NA
186,personnes,people,0,NA
187,ma,my,0,NA
188,sur,over,0,NA
189,savoir,know,0,NA
190,eau,water,0,NA
191,que,than,0,NA
192,appel,call,0,NA
193,première,first,0,NA
194,qui,who,0,NA
195,peut,may,0,NA
196,vers le bas,down,0,NA
197,côté,side,0,NA
198,été,been,0,NA
199,maintenant,now,0,NA
200,trouver,find,0,NA
201,tête,head,0,NA
202,supporter,stand,0,NA
203,propre,own,0,NA
204,page,page,0,NA
205,devrait,should,0,NA
206,pays,country,0,NA
207,trouvé,found,0,NA
208,réponse,answer,0,NA
209,école,school,0,NA
210,croître,grow,0,NA
211,étude,study,0,NA
212,encore,still,0,NA
213,apprendre,learn,0,NA
214,usine,plant,0,NA
215,couvercle,cover,0,NA
216,nourriture,food,0,NA
217,soleil,sun,0,NA
218,quatre,four,0,NA
219,entre,between,0,NA
220,état,state,0,NA
221,garder,keep,0,NA
222,œil,eye,0,NA
223,jamais,never,0,NA
224,dernier,last,0,NA
225,laisser,let,0,NA
226,pensée,thought,0,NA
227,ville,city,0,NA
228,arbre,tree,0,NA
229,traverser,cross,0,NA
230,ferme,farm,0,NA
231,dur,hard,0,NA
232,début,start,0,NA
233,puissance,might,0,NA
234,histoire,story,0,NA
235,scie,saw,0,NA
236,loin,far,0,NA
237,mer,sea,0,NA
238,tirer,draw,0,NA
239,gauche,left,0,NA
240,tard,late,0,NA
241,courir,run,0,NA
242,needs a context,don’t,0,NA
243,tandis que,while,0,NA
244,presse,press,0,NA
245,proche,close,0,NA
246,nuit,night,0,NA
247,réel,real,0,NA
248,vie,life,0,NA
249,peu,few,0,NA
250,nord,north,0,NA
251,livre,book,0,NA
252,porter,carry,0,NA
253,a pris,took,0,NA
254,science,science,0,NA
255,manger,eat,0,NA
256,chambre,room,0,NA
257,ami,friend,0,NA
258,a commencé,began,0,NA
259,idée,idea,0,NA
260,poisson,fish,0,NA
261,montagne,mountain,0,NA
262,Arrêtez,stop,0,NA
263,une fois,once,0,NA
264,base,base,0,NA
265,entendre,hear,0,NA
266,cheval,horse,0,NA
267,coupe,cut,0,NA
268,sûr,sure,0,NA
269,regarder,watch,0,NA
270,couleur,color,0,NA
271,face,face,0,NA
272,bois,wood,0,NA
273,principal,main,0,NA
274,ouvert,open,0,NA
275,paraître,seem,0,NA
276,ensemble,together,0,NA
277,suivant,next,0,NA
278,blanc,white,0,NA
279,enfants,children,0,NA
280,commencer,begin,0,NA
281,eu,got,0,NA
282,marcher,walk,0,NA
283,exemple,example,0,NA
284,facilité,ease,0,NA
285,papier,paper,0,NA
286,groupe,group,0,NA
287,toujours,always,0,NA
288,musique,music,0,NA
289,ceux,those,0,NA
290,tous les deux,both,0,NA
291,marque,mark,0,NA
292,souvent,often,0,NA
293,lettre,letter,0,NA
294,jusqu’à ce que,until,0,NA
295,mile,mile,0,NA
296,rivière,river,0,NA
297,voiture,car,0,NA
298,pieds,feet,0,NA
299,soins,care,0,NA
300,deuxième,second,0,NA
301,assez,enough,0,NA
302,plaine,plain,0,NA
303,fille,girl,0,NA
304,habituel,usual,0,NA
305,jeune,young,0,NA
306,prêt,ready,0,NA
307,au-dessus,above,0,NA
308,jamais,ever,0,NA
309,rouge,red,0,NA
310,liste,list,0,NA
311,bien que,though,0,NA
312,sentir,feel,0,NA
313,parler,talk,0,NA
314,oiseau,bird,0,NA
315,bientôt,soon,0,NA
316,corps,body,0,NA
317,chien,dog,0,NA
318,famille,family,0,NA
319,direct,direct,0,NA
320,pose,pose,0,NA
321,laisser,leave,0,NA
322,chanson,song,0,NA
323,mesurer,measure,0,NA
324,porte,door,0,NA
325,produit,product,0,NA
326,noir,black,0,NA
327,court,short,0,NA
328,chiffre,numeral,0,NA
329,classe,class,0,NA
330,vent,wind,0,NA
331,question,question,0,NA
332,arriver,happen,0,NA
333,complète,complete,0,NA
334,navire,ship,0,NA
335,zone,area,0,NA
336,moitié,half,0,NA
337,rock,rock,0,NA
338,ordre,order,0,NA
339,feu,fire,0,NA
340,sud,south,0,NA
341,problème,problem,0,NA
342,pièce,piece,0,NA
343,dit,told,0,NA
344,savait,knew,0,NA
345,passer,pass,0,NA
346,depuis,since,0,NA
347,haut,top,0,NA
348,ensemble,whole,0,NA
349,roi,king,0,NA
350,rue,street,0,NA
351,pouce,inch,0,NA
352,multiplier,multiply,0,NA
353,rien,nothing,0,NA
354,cours,course,0,NA
355,rester,stay,0,NA
356,roue,wheel,0,NA
357,plein,full,0,NA
358,force,force,0,NA
359,bleu,blue,0,NA
360,objet,object,0,NA
361,décider,decide,0,NA
362,surface,surface,0,NA
363,profond,deep,0,NA
364,lune,moon,0,NA
365,île,island,0,NA
366,pied,foot,0,NA
367,système,system,0,NA
368,occupé,busy,0,NA
369,test,test,0,NA
370,record,record,0,NA
371,bateau,boat,0,NA
372,commun,common,0,NA
373,or,gold,0,NA
374,possible,possible,0,NA
375,plan,plane,0,NA
376,place,stead,0,NA
377,sec,dry,0,NA
378,se demander,wonder,0,NA
379,rire,laugh,0,NA
380,mille,thousand,0,NA
381,il ya,ago,0,NA
382,ran,ran,0,NA
383,vérifier,check,0,NA
384,jeu,game,0,NA
385,forme,shape,0,NA
386,assimiler,equate,0,NA
387,chaud,hot,0,NA
388,manquer,miss,0,NA
389,apporté,brought,0,NA
390,chaleur,heat,0,NA
391,neige,snow,0,NA
392,pneu,tire,0,NA
393,apporter,bring,0,NA
394,oui,yes,0,NA
395,lointain,distant,0,NA
396,remplir,fill,0,NA
397,est,east,0,NA
398,peindre,paint,0,NA
399,langue,language,0,NA
400,entre,among,0,NA
401,unité,unit,0,NA
402,puissance,power,0,NA
403,ville,town,0,NA
404,fin,fine,0,NA
405,certain,certain,0,NA
406,voler,fly,0,NA
407,tomber,fall,0,NA
408,conduire,lead,0,NA
409,cri,cry,0,NA
410,sombre,dark,0,NA
411,machine,machine,0,NA
412,Note,note,0,NA
413,patienter,wait,0,NA
414,plan,plan,0,NA
415,figure,figure,0,NA
416,étoile,star,0,NA
417,boîte,box,0,NA
418,nom,noun,0,NA
419,domaine,field,0,NA
420,reste,rest,0,NA
421,correct,correct,0,NA
422,capable,able,0,NA
423,livre,pound,0,NA
424,Terminé,done,0,NA
425,beauté,beauty,0,NA
426,entraînement,drive,0,NA
427,résisté,stood,0,NA
428,contenir,contain,0,NA
429,avant,front,0,NA
430,enseigner,teach,0,NA
431,semaine,week,0,NA
432,finale,final,0,NA
433,donné,gave,0,NA
434,vert,green,0,NA
435,oh,oh,0,NA
436,rapide,quick,0,NA
437,développer,develop,0,NA
438,océan,ocean,0,NA
439,chaud,warm,0,NA
440,gratuit,free,0,NA
441,minute,minute,0,NA
442,fort,strong,0,NA
443,spécial,special,0,NA
444,esprit,mind,0,NA
445,derrière,behind,0,NA
446,clair,clear,0,NA
447,queue,tail,0,NA
448,produire,produce,0,NA
449,fait,fact,0,NA
450,espace,space,0,NA
451,entendu,heard,0,NA
452,meilleur,best,0,NA
453,heure,hour,0,NA
454,mieux,better,0,NA
455,vrai,TRUE,0,NA
456,pendant,during,0,NA
457,cent,hundred,0,NA
458,cinq,five,0,NA
459,rappeler,remember,0,NA
460,étape,step,0,NA
461,tôt,early,0,NA
462,tenir,hold,0,NA
463,ouest,west,0,NA
464,sol,ground,0,NA
465,intérêt,interest,0,NA
466,atteindre,reach,0,NA
467,rapide,fast,0,NA
468,verbe,verb,0,NA
469,chanter,sing,0,NA
470,écouter,listen,0,NA
471,six,six,0,NA
472,table,table,0,NA
473,Voyage,travel,0,NA
474,moins,less,0,NA
475,matin,morning,0,NA
476,dix,ten,0,NA
477,simple,simple,0,NA
478,plusieurs,several,0,NA
479,voyelle,vowel,0,NA
480,vers,toward,0,NA
481,guerre,war,0,NA
482,poser,lay,0,NA
483,contre,against,0,NA
484,modèle,pattern,0,NA
485,lent,slow,0,NA
486,centre,center,0,NA
487,amour,love,0,NA
488,personne,person,0,NA
489,argent,money,0,NA
490,servir,serve,0,NA
491,apparaître,appear,0,NA
492,route,road,0,NA
493,carte,map,0,NA
494,pluie,rain,0,NA
495,règle,rule,0,NA
496,gouverner,govern,0,NA
497,tirer,pull,0,NA
498,froid,cold,0,NA
499,avis,notice,0,NA
500,voix,voice,0,NA
501,énergie,energy,0,NA
502,chasse,hunt,0,NA
503,probable,probable,0,NA
504,lit,bed,0,NA
505,frère,brother,0,NA
506,œuf,egg,0,NA
507,tour,ride,0,NA
508,cellule,cell,0,NA
509,croire,believe,0,NA
510,peut-être,perhaps,0,NA
511,choisir,pick,0,NA
512,soudain,sudden,0,NA
513,compter,count,0,NA
514,carré,square,0,NA
515,raison,reason,0,NA
516,longueur,length,0,NA
517,représenter,represent,0,NA
518,art,art,0,NA
519,sujet,subject,0,NA
520,région,region,0,NA
521,taille,size,0,NA
522,varier,vary,0,NA
523,régler,settle,0,NA
524,parler,speak,0,NA
525,poids,weight,0,NA
526,général,general,0,NA
527,glace,ice,0,NA
528,question,matter,0,NA
529,cercle,circle,0,NA
530,paire,pair,0,NA
531,inclure,include,0,NA
532,fracture,divide,0,NA
533,syllabe,syllable,0,NA
534,feutre,felt,0,NA
535,grandiose,grand,0,NA
536,balle,ball,0,NA
537,encore,yet,0,NA
538,vague,wave,0,NA
539,tomber,drop,0,NA
540,cœur,heart,0,NA
541,h,am,0,NA
542,présent,present,0,NA
543,lourd,heavy,0,NA
544,danse,dance,0,NA
545,moteur,engine,0,NA
546,position,position,0,NA
547,bras,arm,0,NA
548,large,wide,0,NA
549,voile,sail,0,NA
550,matériel,material,0,NA
551,fraction,fraction,0,NA
552,forêt,forest,0,NA
553,s’asseoir,sit,0,NA
554,course,race,0,NA
555,fenêtre,window,0,NA
556,magasin,store,0,NA
557,été,summer,0,NA
558,train,train,0,NA
559,sommeil,sleep,0,NA
560,prouver,prove,0,NA
561,seul,lone,0,NA
562,jambe,leg,0,NA
563,exercice,exercise,0,NA
564,mur,wall,0,NA
565,capture,catch,0,NA
566,monture,mount,0,NA
567,souhaiter,wish,0,NA
568,ciel,sky,0,NA
569,conseil,board,0,NA
570,joie,joy,0,NA
571,hiver,winter,0,NA
572,sat,sat,0,NA
573,écrit,written,0,NA
574,sauvage,wild,0,NA
575,instrument,instrument,0,NA
576,conservé,kept,0,NA
577,verre,glass,0,NA
578,herbe,grass,0,NA
579,vache,cow,0,NA
580,emploi,job,0,NA
581,bord,edge,0,NA
582,signe,sign,0,NA
583,visite,visit,0,NA
584,passé,past,0,NA
585,doux,soft,0,NA
586,amusement,fun,0,NA
587,clair,bright,0,NA
588,gaz,gas,0,NA
589,temps,weather,0,NA
590,mois,month,0,NA
591,million,million,0,NA
592,porter,bear,0,NA
593,finition,finish,0,NA
594,heureux,happy,0,NA
595,espoir,hope,0,NA
596,fleur,flower,0,NA
597,vêtir,clothe,0,NA
598,étrange,strange,0,NA
599,disparu,gone,0,NA
600,commerce,trade,0,NA
601,mélodie,melody,0,NA
602,voyage,trip,0,NA
603,bureau,office,0,NA
604,recevoir,receive,0,NA
605,rangée,row,0,NA
606,bouche,mouth,0,NA
607,exact,exact,0,NA
608,symbole,symbol,0,NA
609,mourir,die,0,NA
610,moins,least,0,NA
611,difficulté,trouble,0,NA
612,cri,shout,0,NA
613,sauf,except,0,NA
614,écrit,wrote,0,NA
615,semence,seed,0,NA
616,ton,tone,0,NA
617,joindre,join,0,NA
618,suggérer,suggest,0,NA
619,propre,clean,0,NA
620,pause,break,0,NA
621,dame,lady,0,NA
622,cour,yard,0,NA
623,augmenter,rise,0,NA
624,mauvais,bad,0,NA
625,coup,blow,0,NA
626,huile,oil,0,NA
627,sang,blood,0,NA
628,toucher,touch,0,NA
629,a augmenté,grew,0,NA
630,cent,cent,0,NA
631,mélanger,mix,0,NA
632,équipe,team,0,NA
633,fil,wire,0,NA
634,coût,cost,0,NA
635,perdu,lost,0,NA
636,brun,brown,0,NA
637,porter,wear,0,NA
638,jardin,garden,0,NA
639,égal,equal,0,NA
640,expédié,sent,0,NA
641,choisir,choose,0,NA
642,est tombé,fell,0,NA
643,s’adapter,fit,0,NA
644,débit,flow,0,NA
645,juste,fair,0,NA
646,banque,bank,0,NA
647,recueillir,collect,0,NA
648,sauver,save,0,NA
649,contrôle,control,0,NA
650,décimal,decimal,0,NA
651,oreille,ear,0,NA
652,autre,else,0,NA
653,tout à fait,quite,0,NA
654,cassé,broke,0,NA
655,cas,case,0,NA
656,milieu,middle,0,NA
657,tuer,kill,0,NA
658,fils,son,0,NA
659,lac,lake,0,NA
660,moment,moment,0,NA
661,échelle,scale,0,NA
662,fort,loud,0,NA
663,printemps,spring,0,NA
664,observer,observe,0,NA
665,enfant,child,0,NA
666,droit,straight,0,NA
667,consonne,consonant,0,NA
668,nation,nation,0,NA
669,dictionnaire,dictionary,0,NA
670,lait,milk,0,NA
671,vitesse,speed,0,NA
672,méthode,method,0,NA
673,organe,organ,0,NA
674,payer,pay,0,NA
675,âge,age,0,NA
676,section,section,0,NA
677,robe,dress,0,NA
678,nuage,cloud,0,NA
679,surprise,surprise,0,NA
680,calme,quiet,0,NA
681,pierre,stone,0,NA
682,minuscule,tiny,0,NA
683,montée,climb,0,NA
684,frais,cool,0,NA
685,conception,design,0,NA
686,pauvres,poor,0,NA
687,lot,lot,0,NA
688,expérience,experiment,0,NA
689,bas,bottom,0,NA
690,clé,key,0,NA
691,fer,iron,0,NA
692,unique,single,0,NA
693,bâton,stick,0,NA
694,plat,flat,0,NA
695,vingt,twenty,0,NA
696,peau,skin,0,NA
697,sourire,smile,0,NA
698,pli,crease,0,NA
699,trou,hole,0,NA
700,sauter,jump,0,NA
701,bébé,baby,0,NA
702,huit,eight,0,NA
703,village,village,0,NA
704,se rencontrent,meet,0,NA
705,racine,root,0,NA
706,acheter,buy,0,NA
707,augmenter,raise,0,NA
708,résoudre,solve,0,NA
709,métal,metal,0,NA
710,si,whether,0,NA
711,pousser,push,0,NA
712,sept,seven,0,NA
713,paragraphe,paragraph,0,NA
714,troisième,third,0,NA
715,doit,shall,0,NA
716,en attente,held,0,NA
717,cheveux,hair,0,NA
718,décrire,describe,0,NA
719,cuisinier,cook,0,NA
720,étage,floor,0,NA
721,chaque,either,0,NA
722,résultat,result,0,NA
723,brûler,burn,0,NA
724,colline,hill,0,NA
725,coffre-fort,safe,0,NA
726,chat,cat,0,NA
727,siècle,century,0,NA
728,envisager,consider,0,NA
729,type,type,0,NA
730,droit,law,0,NA
731,peu,bit,0,NA
732,côte,coast,0,NA
733,copie,copy,0,NA
734,phrase,phrase,0,NA
735,silencieux,silent,0,NA
736,haut,tall,0,NA
737,sable,sand,0,NA
738,sol,soil,0,NA
739,rouleau,roll,0,NA
740,température,temperature,0,NA
741,doigt,finger,0,NA
742,industrie,industry,0,NA
743,valeur,value,0,NA
744,lutte,fight,0,NA
745,mensonge,lie,0,NA
746,battre,beat,0,NA
747,exciter,excite,0,NA
748,naturel,natural,0,NA
749,vue,view,0,NA
750,sens,sense,0,NA
751,capital,capital,0,NA
752,ne sera pas,won’t,0,NA
753,chaise,chair,0,NA
754,danger,danger,0,NA
755,fruit,fruit,0,NA
756,riche,rich,0,NA
757,épais,thick,0,NA
758,soldat,soldier,0,NA
759,processus,process,0,NA
760,fonctionner,operate,0,NA
761,pratique,practice,0,NA
762,séparé,separate,0,NA
763,difficile,difficult,0,NA
764,médecin,doctor,0,NA
765,s’il vous plaît,please,0,NA
766,protéger,protect,0,NA
767,midi,noon,0,NA
768,récolte,crop,0,NA
769,moderne,modern,0,NA
770,élément,element,0,NA
771,frapper,hit,0,NA
772,étudiant,student,0,NA
773,coin,corner,0,NA
774,partie,party,0,NA
775,alimentation,supply,0,NA
776,dont,whose,0,NA
777,localiser,locate,0,NA
778,anneau,ring,0,NA
779,caractère,character,0,NA
780,insecte,insect,0,NA
781,pris,caught,0,NA
782,période,period,0,NA
783,indiquer,indicate,0,NA
784,radio,radio,0,NA
785,rayon,spoke,0,NA
786,atome,atom,0,NA
787,humain,human,0,NA
788,histoire,history,0,NA
789,effet,effect,0,NA
790,électrique,electric,0,NA
791,attendre,expect,0,NA
792,os,bone,0,NA
793,rail,rail,0,NA
794,imaginer,imagine,0,NA
795,fournir,provide,0,NA
796,se mettre d’accord,agree,0,NA
797,ainsi,thus,0,NA
798,doux,gentle,0,NA
799,femme,woman,0,NA
800,capitaine,captain,0,NA
801,deviner,guess,0,NA
802,nécessaire,necessary,0,NA
803,net,sharp,0,NA
804,aile,wing,0,NA
805,créer,create,0,NA
806,voisin,neighbor,0,NA
807,lavage,wash,0,NA
808,chauve-souris,bat,0,NA
809,plutôt,rather,0,NA
810,foule,crowd,0,NA
811,blé,corn,0,NA
812,comparer,compare,0,NA
813,poème,poem,0,NA
814,chaîne,string,0,NA
815,cloche,bell,0,NA
816,dépendre,depend,0,NA
817,viande,meat,0,NA
818,rub,rub,0,NA
819,tube,tube,0,NA
820,célèbre,famous,0,NA
921,dollar,dollar,0,NA
822,courant,stream,0,NA
823,peur,fear,0,NA
284,vue,sight,0,NA
825,mince,thin,0,NA
826,triangle,triangle,0,NA
827,planète,planet,0,NA
828,se dépêcher,hurry,0,NA
829,chef,chief,0,NA
830,colonie,colony,0,NA
831,horloge,clock,0,NA
832,mine,mine,0,NA
833,lien,tie,0,NA
834,entrer,enter,0,NA
835,majeur,major,0,NA
836,frais,fresh,0,NA
837,recherche,search,0,NA
838,envoyer,send,0,NA
839,jaune,yellow,0,NA
840,pistolet,gun,0,NA
841,permettre,allow,0,NA
842,impression,print,0,NA
843,mort,dead,0,NA
844,place,spot,0,NA
845,désert,desert,0,NA
846,costume,suit,0,NA
847,courant,current,0,NA
848,ascenseur,lift,0,NA
840,rose,rose,0,NA
850,arriver,arrive,0,NA
851,maître,master,0,NA
852,piste,track,0,NA
853,mère,parent,0,NA
854,rivage,shore,0,NA
855,division,division,0,NA
856,feuille,sheet,0,NA
857,substance,substance,0,NA
858,favoriser,favor,0,NA
859,relier,connect,0,NA
860,poste,post,0,NA
861,passer,spend,0,NA
862,corde,chord,0,NA
863,graisse,fat,0,NA
864,heureux,glad,0,NA
865,original,original,0,NA
866,part,share,0,NA
867,station,station,0,NA
868,papa,dad,0,NA
869,pain,bread,0,NA
870,charger,charge,0,NA
871,propre,proper,0,NA
872,bar,bar,0,NA
873,proposition,offer,0,NA
874,segment,segment,0,NA
875,esclave,slave,0,NA
876,canard,duck,0,NA
877,instant,instant,0,NA
878,marché,market,0,NA
879,degré,degree,0,NA
880,peupler,populate,0,NA
881,poussin,chick,0,NA
882,cher,dear,0,NA
883,ennemi,enemy,0,NA
884,répondre,reply,0,NA
885,boisson,drink,0,NA
886,se produire,occur,0,NA
887,support,support,0,NA
888,discours,speech,0,NA
889,nature,nature,0,NA
890,gamme,range,0,NA
891,vapeur,steam,0,NA
892,mouvement,motion,0,NA
893,chemin,path,0,NA
894,liquide,liquid,0,NA
895,enregistrer,log,0,NA
896,signifiait,meant,0,NA
897,quotient,quotient,0,NA
898,dents,teeth,0,NA
899,coquille,shell,0,NA
900,cou,neck,0,NA
901,oxygène,oxygen,0,NA
902,sucre,sugar,0,NA
903,décès,death,0,NA
904,assez,pretty,0,NA
905,compétence,skill,0,NA
906,femmes,women,0,NA
907,saison,season,0,NA
908,solution,solution,0,NA
909,aimant,magnet,0,NA
910,argent,silver,0,NA
911,merci,thank,0,NA
912,branche,branch,0,NA
913,rencontre,match,0,NA
914,suffixe,suffix,0,NA
915,particulièrement,especially,0,NA
916,figue,fig,0,NA
917,peur,afraid,0,NA
918,énorme,huge,0,NA
919,sœur,sister,0,NA
920,acier,steel,0,NA
921,discuter,discuss,0,NA
922,avant,forward,0,NA
923,similaire,similar,0,NA
924,guider,guide,0,NA
925,expérience,experience,0,NA
926,score,score,0,NA
927,pomme,apple,0,NA
928,acheté,bought,0,NA
929,LED,led,0,NA
930,pas,pitch,0,NA
931,manteau,coat,0,NA
932,masse,mass,0,NA
933,carte,card,0,NA
934,bande,band,0,NA
935,corde,rope,0,NA
936,glissement,slip,0,NA
937,gagner,win,0,NA
938,rêver,dream,0,NA
939,soirée,evening,0,NA
940,condition,condition,0,NA
941,alimentation,feed,0,NA
942,outil,tool,0,NA
943,total,total,0,NA
944,de base,basic,0,NA
945,odeur,smell,0,NA
946,vallée,valley,0,NA
947,ni,nor,0,NA
948,double,double,0,NA
949,siège,seat,0,NA
950,continuer,continue,0,NA
951,bloc,block,0,NA
952,graphique,chart,0,NA
953,chapeau,hat,0,NA
954,vendre,sell,0,NA
955,succès,success,0,NA
956,entreprise,company,0,NA
957,soustraire,subtract,0,NA
958,événement,event,0,NA
959,particulier,particular,0,NA
960,accord,deal,0,NA
961,baignade,swim,0,NA
962,terme,term,0,NA
963,opposé,opposite,0,NA
964,femme,wife,0,NA
965,chaussure,shoe,0,NA
966,épaule,shoulder,0,NA
967,propagation,spread,0,NA
968,organiser,arrange,0,NA
969,camp,camp,0,NA
970,inventer,invent,0,NA
971,coton,cotton,0,NA
972,né,born,0,NA
973,déterminer,determine,0,NA
974,litre,quart,0,NA
975,neuf,nine,0,NA
976,camion,truck,0,NA
977,bruit,noise,0,NA
978,niveau,level,0,NA
979,chance,chance,0,NA
980,recueillir,gather,0,NA
981,boutique,shop,0,NA
982,tronçon,stretch,0,NA
983,jeter,throw,0,NA
984,éclat,shine,0,NA
985,propriété,property,0,NA
986,colonne,column,0,NA
987,molécule,molecule,0,NA
988,sélectionner,select,0,NA
989,mal,wrong,0,NA
990,gris,gray,0,NA
991,répétition,repeat,0,NA
992,exiger,require,0,NA
993,large,broad,0,NA
994,préparer,prepare,0,NA
995,sel,salt,0,NA
996,nez,nose,0,NA
997,pluriel,plural,0,NA
998,colère,anger,0,NA
999,revendication,claim,0,NA
1000,continent…,continent,0,NA
